question,expected,actual_1,actual_2,actual_3,verdict
How is the Night Sky Decal #1 obtained?,The Night Sky Decal #1 can be obtained by finishing Penny's 14-Heart event and choosing the Forest and Moon: Peaceful Blue option or by buying it during the Desert Festival.,"The Night Sky Decal #1 is obtained by completing Penny's 14-heart event and choosing the ""Forest and Moon: Peaceful Blue"" option. Alternatively, it can be purchased from Penny during the Desert Festival for 30 Calico Eggs.","The Night Sky Decal #1 can be obtained by completing Penny's 14-heart event and selecting the ""Forest and Moon: Peaceful Blue"" option. Alternatively, it can be purchased from Penny during the Desert Festival for 30 Calico Eggs.","The Night Sky Decal #1 can be obtained in two ways: by completing Penny's 14-heart event and choosing the ""Forest and Moon: Peaceful Blue"" option, or by purchasing it at the Desert Festival for 30 Calico Eggs.",PASS
Can the Night Sky Decal #1 be placed outdoors?,The Night Sky Decal #1 cannot be placed outdoors.,"The Night Sky Decal #1 is a wall decoration. Wall decals, like this one, are generally for indoor use only and cannot be placed outdoors.","The Night Sky Decal #1 is a wall-hanging decorative item, meaning it can only be placed indoors and not outdoors.","The Night Sky Decal #1 is a wall-hanging decorative item, meaning it cannot be placed outdoors since it requires a wall for placement.",PASS
How much does the Wrapper cost in Stardew Valley?,The Wrapper costs 0g from the Trash Catalogue.,"The Wrapper cannot be sold, which implies it has no monetary cost associated with it. Let me know if you'd like details about how to obtain it instead!",The Wrapper cannot be purchased or sold; it is likely obtained through crafting or other in-game methods. Let me know if you need help acquiring it!,"The Wrapper cannot be sold, so it does not have a monetary cost or sell price. If you're looking for how to obtain it, let me know!",FAIL
From where can the Wrapper be obtained in Stardew Valley?,The Wrapper can be obtained from the Trash Catalogue.,The Wrapper is a decorative piece of furniture that can be obtained from the Trash Catalogue for free (0g).,The Wrapper is a decorative furniture item that can be purchased from the Trash Catalogue for 0g.,"I couldn't locate an item or entity called ""Wrapper"" in the game. Can you clarify whether it's an item, event, or specific mechanic?",PASS
What is the growth time of Jazz Seeds?,Jazz Seeds take 7 days to grow into a Blue Jazz flower.,Jazz Seeds take 7 days to grow into Blue Jazz flowers.,Jazz Seeds take 7 days to grow into mature Blue Jazz flowers.,Jazz Seeds take 7 days to grow into Blue Jazz flowers.,PASS
Where can Jazz Seeds be purchased?,"Jazz Seeds can be purchased at Pierre's General Store, at JojaMart, from the Magic Shop Boat at the Night Market on Winter 15, and occasionally from the Traveling Cart.","Jazz Seeds can be purchased at Pierre's General Store, JojaMart, the Magic Shop Boat during the Night Market on Winter 15, and occasionally from the Traveling Cart.","Jazz Seeds can be purchased at Pierre's General Store, JojaMart, the Magic Shop Boat during the Night Market on Winter 15, or occasionally from the Traveling Cart.","Jazz Seeds can be purchased at Pierre's General Store, JojaMart, the Magic Shop Boat during the Night Market on Winter 15, and occasionally from the Traveling Cart.",PASS
Where is Elliott's Cabin located?,"Elliott's Cabin is located on the main beach, just east of the entrance.","Elliott's Cabin is located on the beach, directly east of the entrance to The Beach.","Elliott's Cabin is located on the main beach, just east of the entrance. It's near Willy's Fish Shop on the beach in Pelican Town.","Elliott's Cabin is located on the main beach, just east of the entrance. It’s near the docks and Willy's Fish Shop.",PASS
What can the Fish Shop be used for?,The Fish Shop sells various fishing supplies and fish tanks.,"The Fish Shop, run by Willy on the Beach docks, offers fishing supplies like rods, bait, tackle, crab pots, and fish tanks. As your fishing skill improves, more items, including special tackle and tools, become available. It also sells unique furniture and accepts fish for purchase. Some exclusive items, like the Copper Pan, require completing specific tasks to access.","The Fish Shop, run by Willy, offers a variety of fishing-related supplies like fishing rods, bait, tackle, crab pots, and fish tanks. Some items require certain fishing levels or specific tasks to unlock. It’s also where you can sell fish and access additional features like Willy’s Boat once unlocked.","The Fish Shop, owned by Willy and located on the Beach docks, offers various fishing-related supplies. You can purchase fishing rods, bait, tackle, crab pots, and fish tanks there. Certain items, like tackle, are unlocked as you advance in fishing skill, while others require completing specific tasks. The shop also stocks unique items like the Copper Pan and Deluxe Fish Tank.",PASS
How can the Pirate Rug be obtained?,The Pirate Rug is obtained by completing Penny's 14-Heart event and selecting the Pirate Theme option.,"The Pirate Rug is obtained by completing Penny's 14-heart event and selecting the Pirate Theme option. If lost, you can buy a replacement at the Lost Items Shop in the Secret Woods for 10,000g.","The Pirate Rug is obtained during Penny's 14-heart event if you choose the Pirate Theme option. If you lose it, you can purchase a replacement at the Lost Items Shop in the Secret Woods for 10,000g.","The Pirate Rug is obtained during Penny’s 14-heart event if you select the Pirate Theme option. If lost, you can buy a replacement at the Lost Items Shop in the Secret Woods for 10,000g.",PASS
What is the price to replace a lost Pirate Rug?,"A lost Pirate Rug can be replaced at the Lost Items Shop in the Secret Woods for 10,000g.","Replacing a lost Pirate Rug costs 10,000g and can be purchased at the Lost Items Shop in the Secret Woods.","Replacing a lost Pirate Rug costs 10,000g. You can buy it at the Lost Items Shop in the Secret Woods.","Replacing a lost Pirate Rug costs 10,000g. You can repurchase it at the Lost Items Shop in the Secret Woods.",PASS
